company,group_name,group_type,music_show_awards,physical_sales,debut_day
JYP Entertainment Corp.,ITZY,Girl Group,48,6165313,Monday
Source Music,LE SSERAFIM,Girl Group,35,6040826,Monday
JYP Entertainment Corp.,NMIXX,Girl Group,11,5993258,Tuesday
YG Entertainment Inc.,TREASURE,Boy Group,3,5267437,Friday
SM Entertainment Co. Ltd.,RIIZE,Boy Group,11,4724154,Monday
Kakao M,GOT7,Boy Group,33,4576219,Wednesday
Starship Entertainment,MONSTA X,Boy Group,23,4260660,Thursday
KOZ Entertainment,BOYNEXTDOOR,Boy Group,13,4225941,Tuesday
SM Entertainment Co. Ltd.,Girl's Generation,Girl Group,94,3630065,Sunday
SM Entertainment Co. Ltd.,TVXQ!,Boy Group,23,3392154,Friday
SM Entertainment Co. Ltd.,NCT Wish,Boy Group,7,3132329,Wednesday
SM Entertainment Co. Ltd.,SHINee,Boy Group,69,3125627,Sunday
Starship Entertainment,CRAVITY,Boy Group,7,2355548,Tuesday
Pledis Entertainment,TWS,Boy Group,14,2324344,Monday
SM Entertainment Co. Ltd.,WayV,Boy Group,4,2147394,Thursday
High Up Entertainment,STAYC,Girl Group,21,1896165,Thursday
INFINITE Company,Infinite,Boy Group,43,1831730,Wednesday
FNC Entertainment,SF9,Boy Group,6,1801596,Wednesday
Fantagio,ASTRO,Boy Group,13,1782644,Tuesday
